1390,1087,1512,1189
1630,1110,1720,1193
1838,1098,1934,1197
2050,1102,2148,1196
2256,1098,2361,1197
2469,1102,2571,1194
1400,1290,1501,1401
1621,1298,1727,1407
1833,1299,1941,1413
2041,1299,2157,1411
2256,1301,2363,1404
2470,1298,2571,1396
1390,1505,1499,1611
1621,1512,1715,1618
1838,1511,1936,1613
2051,1511,2148,1613
2261,1512,2371,1614
2472,1506,2597,1618
1392,1725,1499,1835
1612,1723,1720,1831
1834,1727,1943,1832
2046,1723,2167,1840
2267,1727,2373,1835
2482,1718,2598,1834
